_Node_,_Leaf_,cases,pct_cases,non_cases,pct_noncases,freq
36,17,51,0.68%,"7,477",99.32%,"7,528"
14,6,614,89.64%,71,10.36%,685
5,0,409,100.0%,0,0.00%,409
9,3,400,99.75%,1,0.25%,401
11,4,92,100.0%,0,0.00%,92
32,15,48,87.27%,7,12.73%,55
38,19,8,22.86%,27,77.14%,35
29,13,26,81.25%,6,18.75%,32
19,8,26,89.66%,3,10.34%,29
8,2,9,34.62%,17,65.38%,26
33,16,18,90.00%,2,10.00%,20
28,12,12,92.31%,1,7.69%,13
13,5,3,23.08%,10,76.92%,13
37,18,10,90.91%,1,9.09%,11
31,14,1,14.29%,6,85.71%,7
17,7,0,0.00%,6,100.0%,6
7,1,5,100.0%,0,0.00%,5
25,10,0,0.00%,4,100.0%,4
21,9,0,0.00%,4,100.0%,4
27,11,0,0.00%,3,100.0%,3
